,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,Count,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,ProbeNumTxCycles
169,39,330,14L5,Cb,0,5,26,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700,3.0
170,40,331,14L5,Cb,0,5,28,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,3,5,10,8888900,3.0
171,41,332,14L5,Cb,0,5,28,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0,3,5,10,8888900,3.0
172,42,333,14L5,Cb,0,5,28,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0,3,5,10,8888900,3.0
173,43,334,14L5,Cb,0,5,28,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0,3,5,10,8888900,3.0
174,44,335,14L5,Cb,0,5,28,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0,3,5,10,8888900,3.0
175,45,336,14L5,Cb,0,5,28,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0,3,5,10,8888900,3.0
176,46,337,14L5,Cb,0,5,28,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0,3,5,10,8888900,3.0
177,47,338,14L5,Cb,0,5,28,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0,3,5,10,8888900,3.0
178,48,307,14L5,Cb,0,5,22,1,0.25,4,4.0,0,0,0,0,0.0,0,0,0,3,5,10,5333300,4.0
