measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.9,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,3,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.9,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.7,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.3,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,1,90,90,56.04,20,8,15,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,1.5,90,90,56.04,20,8,23,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1,,
