index,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,TxPulseRle,VTxIndex,elevAperIndex,SystemPulserSel,bsIndexTrace,TxFrequencyHz,probeId,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,profTxVoltageVolt,zMeasNum,zt_est
139,5,19,2,9.5,60,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
140,5,19,2,11.0,62,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
141,5,19,2,13.0,65,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
142,5,19,2,14.5,67,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
143,5,19,2,19.0,71,3.0,0,0,0,0.0,0,0,0,0,4444400,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.2
144,10,9,2,4.0,62,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.2
145,10,9,2,6.0,75,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.3
146,10,9,2,8.0,83,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,115.0,4.6
147,10,9,2,9.5,88,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,5.2
148,10,9,2,11.0,92,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
149,10,9,2,13.0,96,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,3.9
150,10,9,2,14.5,99,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.0
151,10,9,2,19.0,104,4.0,0,0,0,0.0,0,0,0,0,2222200,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,135.0,4.1
152,10,10,2,4.0,62,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.2
153,10,10,2,6.0,75,4.0,0,0,0,0.0,0,0,0,0,2500000,11575443,90,90,20,8,0.5,0,1,Beamstyle_9VC2_Intensity,56.04,75.0,4.1
