,measSetId,probeId,beamstyleIndex,txFrequencyHz,focusRangeCm,numTxElements,txpgWaveformStyle,numTxCycles,elevAperIndex,IsTxAperModulationEn,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1,measResId,zt,RankNo
2878,9165,11289565,0,3333300.0,11.0,51,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10802,4.0,1
2879,9166,11289565,0,3333300.0,13.0,57,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10803,4.199999809265137,1
2880,9167,11289565,0,3333300.0,14.5,61,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10804,4.099999904632568,1
2881,9168,11289565,0,3333300.0,19.0,72,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10805,4.300000190734863,1
2882,9169,11289565,0,4210500.0,2.0,10,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10806,5.199999809265137,1
2883,9170,11289565,0,4210500.0,4.0,20,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10807,5.0,1
2884,9171,11289565,0,4210500.0,4.800000190734863,24,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10808,4.800000190734863,1
2885,9172,11289565,0,4210500.0,6.0,30,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10809,4.5,1
2886,9173,11289565,0,4210500.0,8.0,40,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10810,4.400000095367432,1
2887,9174,11289565,0,4210500.0,9.5,46,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10811,4.400000095367432,1
2888,9175,11289565,0,4210500.0,11.0,51,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10812,4.400000095367432,1
2889,9176,11289565,0,4210500.0,13.0,57,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10813,4.599999904632568,1
2890,9177,11289565,0,4210500.0,14.5,61,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10814,4.5,1
2891,9178,11289565,0,4210500.0,19.0,72,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10815,4.699999809265137,1
2892,9179,11289565,0,5000000.0,2.0,10,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10816,5.400000095367432,1
2893,9180,11289565,0,5000000.0,4.0,20,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10818,5.199999809265137,1
2894,9181,11289565,0,5000000.0,4.800000190734863,24,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10819,5.099999904632568,1
2895,9182,11289565,0,5000000.0,6.0,30,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10820,5.199999809265137,1
2896,9183,11289565,0,5000000.0,8.0,40,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10821,4.599999904632568,1
2897,9184,11289565,0,5000000.0,9.5,46,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10822,4.800000190734863,1
2898,9185,11289565,0,5000000.0,11.0,51,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10823,4.800000190734863,1
2899,9186,11289565,0,5000000.0,13.0,57,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10824,4.800000190734863,1
2900,9187,11289565,0,5000000.0,14.5,61,2,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10825,4.900000095367432,1
2901,9189,11289565,1,2000000.0,2.0,8,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10827,4.400000095367432,1
2902,9190,11289565,1,2000000.0,4.0,16,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10828,4.199999809265137,1
2903,9191,11289565,1,2000000.0,4.800000190734863,19,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10829,4.5,1
2904,9192,11289565,1,2000000.0,6.0,24,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10830,4.5,1
2905,9193,11289565,1,2000000.0,8.0,32,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10831,4.400000095367432,1
2906,9194,11289565,1,2000000.0,9.5,35,1,2.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,10832,4.0,1
