,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,bsIndexTrace,count
171,316,14L5,Cb,5,5,24,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0,10,2
172,317,14L5,Cb,5,5,24,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0,10,2
173,318,14L5,Cb,5,5,24,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0,10,2
174,319,14L5,Cb,5,5,24,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0,10,2
175,320,14L5,Cb,5,5,24,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0,10,2
176,321,14L5,Cb,5,5,24,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0,10,2
177,322,14L5,Cb,5,5,24,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0,10,2
178,323,14L5,Cb,5,5,26,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,10,2
179,324,14L5,Cb,5,5,26,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0,10,2
180,325,14L5,Cb,5,5,26,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0,10,2
181,326,14L5,Cb,5,5,26,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0,10,2
182,327,14L5,Cb,5,5,26,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0,10,2
183,328,14L5,Cb,5,5,26,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0,10,2
184,329,14L5,Cb,5,5,26,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0,10,2
185,330,14L5,Cb,5,5,26,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0,10,2
186,403,14L5,Cb,5,5,26,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0,10,2
187,404,14L5,Cb,5,5,26,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0,10,2
188,405,14L5,Cb,5,5,26,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0,10,2
189,406,14L5,Cb,5,5,26,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0,10,2
190,407,14L5,Cb,5,5,26,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0,10,2
191,408,14L5,Cb,5,5,26,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0,10,2
192,409,14L5,Cb,5,5,26,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0,10,2
193,410,14L5,Cb,5,5,26,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0,10,2
194,331,14L5,Cb,5,5,28,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,10,2
195,332,14L5,Cb,5,5,28,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0,10,2
196,333,14L5,Cb,5,5,28,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0,10,2
