,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,Count,OrgIndex,bsIndexTrace,TxFrequencyHz
145,124,56,14L5,B,1,1,17,0,0.25,6,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000
146,125,57,14L5,B,1,1,17,0,0.5,13,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000
147,126,58,14L5,B,1,1,17,0,0.75,19,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1,2,1,20,4000000
148,127,59,14L5,B,1,1,17,0,1.0,25,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
149,128,60,14L5,B,1,1,17,0,1.5,38,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
150,129,61,14L5,B,1,1,17,0,2.25,56,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
151,130,62,14L5,B,1,1,17,0,3.5,88,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
152,131,63,14L5,B,1,1,17,0,5.25,131,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
153,132,159,14L5,B,1,1,17,0,7.0,175,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1,2,1,20,4000000
154,133,88,14L5,B,1,1,23,0,0.25,6,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300
155,134,89,14L5,B,1,1,23,0,0.5,13,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300
156,135,90,14L5,B,1,1,23,0,0.75,19,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1,1,1,0,5714300
157,136,91,14L5,B,1,1,23,0,1.0,25,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300
158,137,92,14L5,B,1,1,23,0,1.5,38,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300
159,138,93,14L5,B,1,1,23,0,2.25,56,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300
160,139,94,14L5,B,1,1,23,0,3.5,88,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300
161,140,95,14L5,B,1,1,23,0,5.25,131,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1,1,1,0,5714300
162,32,323,14L5,Cb,0,5,26,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700
163,33,324,14L5,Cb,0,5,26,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700
164,34,325,14L5,Cb,0,5,26,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0,3,5,10,7272700
165,35,326,14L5,Cb,0,5,26,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700
166,36,327,14L5,Cb,0,5,26,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700
167,37,328,14L5,Cb,0,5,26,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700
168,38,329,14L5,Cb,0,5,26,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700
169,39,330,14L5,Cb,0,5,26,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0,3,5,10,7272700
170,40,331,14L5,Cb,0,5,28,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0,3,5,10,8888900
